X,Y,Z
0.02,0.34,-0.66
0.03,0.26,-0.66
-0.02,0.03,-0.71
0.03,0.46,-0.66
-0.02,0.60,-0.60
0.00,0.32,-0.72
0.02,0.18,-0.68
0.00,0.35,-0.66
0.02,0.34,-0.65
0.00,0.18,-0.66
0.00,0.45,-0.66
0.03,0.63,-0.58
0.02,0.26,-0.71
0.02,0.08,-0.71
0.03,0.22,-0.66
0.00,0.45,-0.63
-0.02,0.49,-0.66
0.00,0.43,-0.68
0.00,0.29,-0.68
0.03,0.22,-0.68
0.00,0.20,-0.69
0.02,0.42,-0.66
0.00,0.42,-0.65
0.02,0.35,-0.65
-0.02,0.28,-0.68
-0.02,0.35,-0.69
0.02,0.37,-0.71
0.02,0.32,-0.65
0.02,0.32,-0.65
0.00,0.31,-0.68
0.00,0.22,-0.69
0.00,0.35,-0.69
